id,title,description,servings,time_minutes,difficulty,category,tags,image,image_prompt
kottbullar-med-potatismos-och-lingon,Köttbullar med potatismos och lingon,"En trygg svensk klassiker med mjukt mos, saftiga köttbullar och fräsch gurka.",4,35,easy,kött,"husman, barnvänligt, klassiker",/seed-recipes/images/kottbullar-med-potatismos-och-lingon.png,"Swedish meatballs with mashed potatoes, creamy gravy, lingonberry jam and cucumber, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kottbullar-med-kokt-potatis-och-graddsas,Köttbullar med kokt potatis och gräddsås,Klassisk husmanskost som passar både vardag och söndag.,4,35,easy,kött,"husman, vardag, klassiker",/seed-recipes/images/kottbullar-med-kokt-potatis-och-graddsas.png,"Swedish meatballs with boiled potatoes, creamy gravy, lingonberry jam and pickled cucumber, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
korvstroganoff-med-ris,Korvstroganoff med ris,"Krämig, mild och snabb vardagsfavorit med ris.",4,25,easy,barnfavorit,"snabbt, barnvänligt, budget",/seed-recipes/images/korvstroganoff-med-ris.png,"creamy Swedish sausage stroganoff with rice, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
falukorv-i-ugn-med-potatismos,Falukorv i ugn med potatismos,En enkel ugnsrätt som känns hemtrevlig och mättande.,4,40,easy,barnfavorit,"barnvänligt, budget, husman",/seed-recipes/images/falukorv-i-ugn-med-potatismos.png,"oven baked Swedish falukorv sausage with mashed potatoes, tomato and melted cheese, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
pytt-i-panna-med-stekt-agg,Pytt i panna med stekt ägg,Smart restmat som blir en riktig vardagsmiddag.,4,25,easy,budget,"snabbt, rester, husman",/seed-recipes/images/pytt-i-panna-med-stekt-agg.png,"Swedish pytt i panna hash with fried egg and pickled beetroot, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
biffar-med-potatis-och-brunsas,Biffar med potatis och brunsås,Saftiga biffar med klassiska tillbehör och mild sås.,4,40,medium,kött,"husman, mättande",/seed-recipes/images/biffar-med-potatis-och-brunsas.png,"pan fried Swedish beef patties with boiled potatoes, brown sauce and carrots, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
pannbiff-med-lok-och-potatis,Pannbiff med lök och potatis,En rejäl husmansrätt med sötstekt lök och potatis.,4,45,medium,kött,"husman, klassiker",/seed-recipes/images/pannbiff-med-lok-och-potatis.png,"Swedish pannbiff beef patties with fried onions, potatoes and lingonberries, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kalpudding-med-potatis-och-lingon,Kålpudding med potatis och lingon,Mild och mustig klassiker som sköter sig i ugnen.,4,60,medium,helg,"husman, klassiker",/seed-recipes/images/kalpudding-med-potatis-och-lingon.png,"Swedish cabbage pudding with boiled potatoes and lingonberries, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
kottfarslimpa-med-graddsas,Köttfärslimpa med gräddsås,En familjevänlig ugnsrätt med klassiska smaker.,4,55,medium,kött,"husman, familj",/seed-recipes/images/kottfarslimpa-med-graddsas.png,"Swedish meatloaf with cream sauce, potatoes, carrots and lingonberries, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
raggmunk-med-flask-och-lingon,Raggmunk med fläsk och lingon,Frasig husmansfavorit med sälta och lingon.,4,45,medium,helg,"husman, klassiker",/seed-recipes/images/raggmunk-med-flask-och-lingon.png,"Swedish potato pancakes raggmunk with crispy pork and lingonberries, realistic appetizing home-cooked Swedish family dinner, beautifully plated on a simple ceramic plate, fresh modern Scandinavian kitchen table setting, natural daylight, soft shadows, clean beige and warm wood tones, realistic food texture, inviting everyday meal, little premium but still weekday dinner, not luxury restaurant, not fine dining, not overstyled, not cartoon, not illustration, not glossy stock photo, no text, no hands, no people, no logos"
